Commentary	Ref	Literature(PubmedID)	value
x 	327	10830514	23000.0
x 	327	15057452	23475.0
x 	327	100536469	24000.0
x 	327	0	44000.0
x 	327	9678255	44700.0
x 	327	9678255	45000.0
enzyme component II from strain W1, gel filtration	327	0	48500.0
enzyme component II from strain W1, gel filtration	327	0	48500.0
1 	327	0	49500.0
1 	327	0	50000.0
enzyme component II from strain W2, gel filtration	327	0	51000.0
enzyme component II from strain W2, gel filtration	327	0	51000.0
1 	327	0	56000.0
x 	327	10689076	99000.0
x 	328	19911836	19000.0
x 	328	20467831	20000.0
x 	328	0	21500.0
x 	328	0	22500.0
x 	328	10830514	23000.0
x 	328	15057452	23475.0
x 	328	100536469	24000.0
x 	328	0	44000.0
x 	328	9678255	44700.0
x 	328	9678255	45000.0
enzyme component II from strain W1, gel filtration	328	0	48500.0
enzyme component II from strain W1, gel filtration	328	0	48500.0
1 	328	0	49500.0
1 	328	0	50000.0
enzyme component II from strain W2, gel filtration	328	0	51000.0
enzyme component II from strain W2, gel filtration	328	0	51000.0
1 	328	0	56000.0
x 	328	10689076	99000.0
x 	329	19911836	19000.0
x 	329	20467831	20000.0
x 	329	0	21500.0
x 	329	0	22500.0
x 	329	10830514	23000.0
x 	329	15057452	23475.0
x 	329	100536469	24000.0
x 	329	0	44000.0
x 	329	9678255	44700.0
x 	329	9678255	45000.0
enzyme component II from strain W1, gel filtration	329	0	48500.0
enzyme component II from strain W1, gel filtration	329	0	48500.0
1 	329	0	49500.0
1 	329	0	50000.0
enzyme component II from strain W2, gel filtration	329	0	51000.0
enzyme component II from strain W2, gel filtration	329	0	51000.0
1 	329	0	56000.0
x 	329	10689076	99000.0
1 	344	18776691	20000.0
	344	27097633	21400.0
x 	344	20075612	23000.0
parental enzyme XynA, SDS-PAGE	344	22006920	23000.0
x 	344	20075612	23253.0
sequence analysis	344	19332293	23350.0
x 	344	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	344	22006920	85500.0
1 	345	18776691	20000.0
	345	27097633	21400.0
x 	345	20075612	23000.0
parental enzyme XynA, SDS-PAGE	345	22006920	23000.0
x 	345	20075612	23253.0
sequence analysis	345	19332293	23350.0
x 	345	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	345	22006920	85500.0
1 	346	18776691	20000.0
	346	27097633	21400.0
x 	346	20075612	23000.0
parental enzyme XynA, SDS-PAGE	346	22006920	23000.0
x 	346	20075612	23253.0
sequence analysis	346	19332293	23350.0
x 	346	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	346	22006920	85500.0
1 	347	18776691	20000.0
	347	27097633	21400.0
x 	347	20075612	23000.0
parental enzyme XynA, SDS-PAGE	347	22006920	23000.0
x 	347	20075612	23253.0
sequence analysis	347	19332293	23350.0
x 	347	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	347	22006920	85500.0
1 	348	18776691	20000.0
	348	27097633	21400.0
x 	348	20075612	23000.0
parental enzyme XynA, SDS-PAGE	348	22006920	23000.0
x 	348	20075612	23253.0
sequence analysis	348	19332293	23350.0
x 	348	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	348	22006920	85500.0
1 	349	18776691	20000.0
	349	27097633	21400.0
x 	349	20075612	23000.0
parental enzyme XynA, SDS-PAGE	349	22006920	23000.0
x 	349	20075612	23253.0
sequence analysis	349	19332293	23350.0
x 	349	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	349	22006920	85500.0
1 	350	18776691	20000.0
	350	27097633	21400.0
x 	350	20075612	23000.0
parental enzyme XynA, SDS-PAGE	350	22006920	23000.0
x 	350	20075612	23253.0
sequence analysis	350	19332293	23350.0
x 	350	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	350	22006920	85500.0
1 	351	18776691	20000.0
	351	27097633	21400.0
x 	351	20075612	23000.0
parental enzyme XynA, SDS-PAGE	351	22006920	23000.0
x 	351	20075612	23253.0
sequence analysis	351	19332293	23350.0
x 	351	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	351	22006920	85500.0
1 	352	18776691	20000.0
	352	27097633	21400.0
x 	352	20075612	23000.0
parental enzyme XynA, SDS-PAGE	352	22006920	23000.0
x 	352	20075612	23253.0
sequence analysis	352	19332293	23350.0
x 	352	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	352	22006920	85500.0
1 	353	18776691	20000.0
	353	27097633	21400.0
x 	353	20075612	23000.0
parental enzyme XynA, SDS-PAGE	353	22006920	23000.0
x 	353	20075612	23253.0
